CPIDR 3.2.3738.41169
Mode	Ideas	Words	Density
Norm	 4973	11511	  0.432	"flickr_chunk.081"
Norm	 4971	11667	  0.426	"flickr_chunk.082"
Norm	 5081	11716	  0.434	"flickr_chunk.083"
Norm	 5015	11602	  0.432	"flickr_chunk.084"
Norm	 5074	11611	  0.437	"flickr_chunk.085"
Norm	 5149	11751	  0.438	"flickr_chunk.086"
Norm	 4108	 9809	  0.419	"flickr_chunk.087"
Norm	 4074	 9688	  0.421	"flickr_chunk.088"
Norm	 4165	 9874	  0.422	"flickr_chunk.089"
Norm	 4068	 9791	  0.415	"flickr_chunk.090"
Norm	 4104	 9837	  0.417	"flickr_chunk.091"
Norm	 4085	 9760	  0.419	"flickr_chunk.092"
Norm	 4081	 9837	  0.415	"flickr_chunk.093"
Norm	 4063	 9857	  0.412	"flickr_chunk.094"
Norm	 4087	 9801	  0.417	"flickr_chunk.095"
Norm	 4168	10041	  0.415	"flickr_chunk.096"
Norm	 4124	 9870	  0.418	"flickr_chunk.097"
Norm	 4074	 9913	  0.411	"flickr_chunk.098"
Norm	 4078	 9817	  0.415	"flickr_chunk.099"
